2025-12-09 02:22:40,812 | app.main | INFO | Analysis completed: a10e4be1-8320-46d0-aacd-5ab6bf334e5b (saas), 0ms, 0 risk flags
2025-12-09 13:08:22,181 | app.main | INFO | Contract Analyzer API shutdown
2025-12-09 13:33:15,141 | app.logging_service | INFO | ✓ Database initialized
2025-12-09 13:33:15,146 | app.main | INFO | Contract Analyzer API startup (v0.2.0)
2025-12-09 13:33:15,146 | app.main | INFO | Upload directory: /Users/luisschenk/contract-analyzer-backend/uploads
2025-12-09 13:33:15,146 | app.main | WARNING | ⚠️  DUMMY MODE ENABLED – Nutzt Mock-Responses statt echter API
2025-12-09 13:33:42,642 | app.main | INFO | Contract uploaded: a28a415f-d1a2-40d0-9b9f-aabea7943582, filename: testvertrag.pdf
2025-12-09 13:33:49,901 | app.main | INFO | Contract uploaded: 3cc71aaf-7033-441a-a0f2-1f0c4ede87dd, filename: testvertrag.pdf
2025-12-09 13:33:49,955 | app.main | INFO | Text extracted for 3cc71aaf-7033-441a-a0f2-1f0c4ede87dd, 2658 chars
2025-12-09 13:33:49,955 | app.llm_client | INFO | Dummy mode: Returning mock employment analysis
2025-12-09 13:33:49,957 | app.logging_service | INFO | ✓ employment | demo-tenant-1 | 0ms | 1 risks | ? in / ? out tokens
2025-12-09 13:33:49,957 | app.main | INFO | Analysis completed: 3cc71aaf-7033-441a-a0f2-1f0c4ede87dd (employment), 0ms, 1 risk flags
2025-12-09 13:35:50,850 | app.main | INFO | Text extracted for 3cc71aaf-7033-441a-a0f2-1f0c4ede87dd, 2658 chars
2025-12-09 13:35:50,851 | app.llm_client | INFO | Dummy mode: Returning mock SaaS analysis
2025-12-09 13:35:50,853 | app.logging_service | INFO | ✓ saas | demo-tenant-1 | 0ms | 0 risks | ? in / ? out tokens
2025-12-09 13:35:50,853 | app.main | INFO | Analysis completed: 3cc71aaf-7033-441a-a0f2-1f0c4ede87dd (saas), 0ms, 0 risk flags
2025-12-09 13:40:32,330 | app.main | INFO | Contract Analyzer API shutdown
2025-12-09 13:40:38,473 | app.logging_service | INFO | ✓ Database initialized
2025-12-09 13:40:38,480 | app.main | INFO | Contract Analyzer API startup (v0.3.0)
2025-12-09 13:40:38,480 | app.main | INFO | Upload directory: /Users/luisschenk/contract-analyzer-backend/uploads
2025-12-09 13:40:38,480 | app.main | WARNING | ⚠️  DUMMY MODE ENABLED
2025-12-09 13:40:38,480 | app.main | INFO | ✓ 2 API keys configured
2025-12-09 13:41:18,401 | app.main | INFO | Contract uploaded: 95eaec46-da04-4694-b085-3d3967ecbe58 by demo-tenant-1, filename: testvertrag.pdf
2025-12-09 13:41:18,477 | app.main | INFO | Text extracted for 95eaec46-da04-4694-b085-3d3967ecbe58, 2658 chars
2025-12-09 13:41:18,477 | app.llm_client | INFO | Dummy mode: Returning mock employment analysis
2025-12-09 13:41:18,479 | app.logging_service | INFO | ✓ employment | demo-tenant-1 | 0ms | 1 risks | ? in / ? out tokens
2025-12-09 13:41:18,479 | app.main | INFO | Analysis completed: 95eaec46-da04-4694-b085-3d3967ecbe58 (employment) by demo-tenant-1, 0ms, 1 risk flags
2025-12-09 13:41:18,525 | app.main | ERROR | Feedback submission failed: table feedback has no column named is_correct
2025-12-09 13:42:16,628 | app.main | INFO | Contract Analyzer API shutdown
2025-12-09 13:43:40,499 | app.logging_service | INFO | ✓ Database initialized
2025-12-09 13:43:40,506 | app.main | INFO | Contract Analyzer API startup (v0.3.0)
2025-12-09 13:43:40,506 | app.main | INFO | Upload directory: /Users/luisschenk/contract-analyzer-backend/uploads
2025-12-09 13:43:40,506 | app.main | WARNING | ⚠️  DUMMY MODE ENABLED
2025-12-09 13:43:40,506 | app.main | INFO | ✓ 2 API keys configured
2025-12-09 13:43:49,524 | app.main | INFO | Feedback received for 95eaec46-da04-4694-b085-3d3967ecbe58 by demo-tenant-1: ✓
2025-12-09 13:58:14,433 | app.main | INFO | Contract Analyzer API shutdown
